timestamp,时域均值,时域标准差,时域方根幅值,时域RMS均方根,时域峰峰值,时域偏度,时域峭度,时域峰值因子,时域裕度因子,时域波形因子,时域脉冲指数,频域均值,频域方差,频域偏度,频域峰度,频域频率中心,频域平均绝对偏差,频域平均幅值,频域根幅值平方和,频域波形因子,频域频带宽度,频域斜度,频域峰值因子
2023-03-16 04:00:00,0.0008217584994138366,0.929452704263377,0.6435660649482259,0.9292714451897764,2.788965,-0.10755700017667483,-0.2316686631312943,3.3970160348092118,4.905090824286947,1.2357361559271256,4.1978155364779415,0.007607782359419883,0.0002797075512889603,7.751438606270629,93.0956158980082,2710.105756423052,197.1330205426923,3528.8508455370643,6745.393039910345,0.5231497741729766,0.07273997336652994,15.252331778946703,609.8555209826798
2023-03-16 04:00:01,-0.0016825390625000048,0.9425746087035259,0.6456037396646591,0.9423919961155944,3.137265,-0.06445882287267803,-0.11844839103867688,3.658307810561158,5.340055808522328,1.2423893694363108,4.5450427339670085,0.0075267418663831145,0.00029026215165921075,7.856364755469015,95.4515690391919,2664.5462959199385,194.77973281981653,3484.305804115926,6891.9149920673135,0.5055642456597925,0.07310052488788472,17.036276179081458,696.776872737807
2023-03-16 04:00:02,0.00028404296875000136,0.8867637478813436,0.6139104195717747,0.8865905804202314,2.886885,-0.04878984208020284,-0.24467660314099637,3.301298327140686,4.767633691641235,1.2348561482361249,4.07662853643131,0.007257707745752828,0.0002543736114546994,8.335598316324132,110.16199170150944,2812.96468625477,199.3031674542152,3658.6628910749414,7131.532015547824,0.5130262169613066,0.07085164219376351,16.921762603682282,692.9356020573871
2023-03-16 04:00:03,-0.019599687499999997,0.9759232136549407,0.6681566127706842,0.9751666828994464,2.7958600000000002,-0.020398960805138772,-0.21190399563487317,2.9267099153902194,4.27149854607444,1.242517096607748,3.636487106683763,0.021495717231333627,0.0013945025253096484,3.4345549862845934,17.417193174903133,2714.3624588067814,357.52571389143225,3648.873799752341,7547.60255783032,0.4834480580812761,0.1317162756696092,10.63323654071254,257.66769155598644
2023-03-16 06:00:00,0.0017797382812499943,0.8720073245142254,0.5855493285596509,0.8718388104947846,2.84746,-0.11426447179813304,-0.000538627743686515,3.673064288320251,5.468915843311012,1.2578050223718242,4.619998709343801,0.0071927945431020405,0.0002451776201994416,8.944535462175756,125.3470230705422,2758.5605456168178,207.70233783842957,3688.815727479619,7454.003985958878,0.49487708008048403,0.07529373903663479,17.66244553494361,701.5506124111051
2023-03-16 06:00:01,-0.005038265624999994,0.8388753272561617,0.5607231497954526,0.8387266010876436,2.868825,-0.1576409633933048,0.018820609030281155,3.9373974734049386,5.889537468186733,1.2606142274549264,4.963539274119347,0.006807146646656647,0.00022844275617097242,8.4680096090956,106.94056513484168,2751.1467514744177,204.51395679772872,3703.137461185632,7480.730628093806,0.49502350041565973,0.0743377126967596,17.739371633689117,722.881278874226
2023-03-16 06:00:02,0.00134389453125,0.8277061059841349,0.5563250716586824,0.8275455200560768,2.8365299999999998,-0.02599066317302887,0.009222988524204556,3.482140776745106,5.17975936516473,1.2576175313920683,4.379201287609839,0.006533620534954779,0.00022482343262605458,9.477843339910965,133.46801832732,2750.8429586869534,191.92683374152156,3633.873767649391,7121.697973684717,0.5102538441080856,0.06977018921979213,17.387335574229105,719.7840845207852
2023-03-16 06:00:03,-0.0008801757812500043,0.8789758636183636,0.5611177351888608,0.8781175103329396,2.850585,-0.20458059670131812,0.7007754970098361,3.627749091112167,5.677222087674338,1.2984451918764148,4.710433364688627,0.018175197890533235,0.001175696529072747,4.288017235406919,27.07302600233561,2615.058422902597,300.5957318537559,3436.5708816225406,6691.262900147878,0.5135907724603964,0.11494799856903701,10.18541352609962,264.4658946157453
2023-03-16 08:00:00,-0.0016226249999999984,0.8961527494699091,0.6083264076367255,0.8959791718341588,2.6518300000000004,-0.15964059653035995,-0.15615230872673846,3.2491491895291995,4.785539413469725,1.248794685464693,4.057520240165978,0.007301645333970233,0.00026027036704678647,8.406508003575041,110.21894056381558,2711.235462106449,200.2471547471713,3583.6522013622666,6893.310765043572,0.5198738782437025,0.07385826776977629,15.28760010620755,597.9536458592388
2023-03-16 08:00:01,0.00017281250000000732,0.8608476524458846,0.5778380372106758,0.8606795190653683,2.772615,-0.07313106979227126,-0.06182304020737961,3.253475815296269,4.8459945861595575,1.2566266252227491,4.088404334019582,0.006827748685734293,0.00024274480832420136,9.34507001673832,133.85103515739743,2812.246697060546,201.8407785588263,3724.9852660792835,7201.892977432139,0.5172230797863704,0.07177207418175546,16.031905754509083,645.0618286591279
2023-03-16 08:00:02,0.002039410156249997,0.855233197997995,0.5915400621099428,0.8550685760340045,2.6981200000000003,-0.03168070333585507,-0.19012741743516637,3.2265131444735538,4.6639106574784055,1.237195025348313,3.991826011563624,0.0068217468806556865,0.0002390645905777554,9.316923865978929,130.89333895756664,2769.1562874835536,198.94461115425864,3670.164405942786,7076.011669856173,0.5186769860170942,0.07184304188733523,15.816329061228949,637.9310713494355
2023-03-16 08:00:03,-0.008771679687499999,0.8992634447506934,0.6487396356040852,0.8984276501599197,2.40968,-0.07166681027882427,-0.5821870240911746,2.8742993378936443,3.980564556681356,1.2061097914950993,3.4667205751214056,0.017953066719393354,0.0012540436250552652,4.788994425102095,31.56518537020794,2731.172958899853,328.90758661929283,3672.196668002339,7331.711393707537,0.5008648691701111,0.1204272272642083,10.387508065010481,267.90761221556266
