timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x,表面温度_y,高频加速度RMS_y,高频加速度峭度_y,速度RMS_y,表面温度,高频加速度RMS,高频加速度峭度,速度RMS
2022/9/1 11:37,47,2.256801,3.013147,1.018086,28,0.0641885,2.835964,0.150577,52,1.274629,3.058911,0.246706
2022/9/1 11:42,47,2.259645,2.778291,0.8814603,28,0.06146017,2.649942,0.1531183,53,1.163159,3.08201,0.2142559
2022/9/1 11:47,47,1.992696,2.981341,1.091523,28,0.06394109,2.849217,0.1741177,53,1.424644,2.925926,0.2354777
2022/9/1 11:52,47,2.094774,3.038868,0.9653139,28,0.06226918,2.544811,0.1886358,54,1.221373,2.917963,0.2131945
2022/9/1 11:57,47,2.177132,2.912164,1.063755,28,0.05928294,2.760238,0.1988031,54,1.41522,2.775859,0.5951966
2022/9/1 12:02,47,2.125527,3.127726,1.039962,28,0.0644791,2.522076,0.1855203,54,1.486046,3.063829,0.667012
2022/9/1 12:12,46,2.006619,2.800327,0.8803709,28,0.07036912,2.658916,0.1988617,54,1.324516,2.986148,0.581146
2022/9/1 12:17,47,2.300017,2.721231,1.014235,28,0.06300106,2.433761,0.179122,54,1.386441,2.828027,0.6076006
2022/9/1 12:22,47,2.193204,2.702051,0.9066645,28,0.08256622,2.38482,0.1440337,53,1.562228,2.986334,0.6309304
2022/9/1 12:27,47,2.241312,3.567238,1.0374,28,0.07287427,2.500276,0.1489432,53,1.38576,3.268438,0.6275136
2022/9/1 12:32,47,2.046003,2.881554,0.9537026,28,0.06968563,2.700596,0.1331361,53,1.551215,3.014994,0.5212662
2022/9/1 12:37,47,2.165107,3.027463,1.034219,29,0.06351825,2.474629,0.1060932,50,1.523612,2.931381,0.6822101
2022/9/1 12:42,47,2.280423,2.7976,1.09618,28,0.07213835,2.511226,0.1378227,49,1.395832,3.017965,0.5844904
2022/9/1 12:47,47,2.216431,2.890018,1.068117,28,0.06639183,2.677629,0.12149,47,1.573148,2.98815,0.6261562
2022/9/1 12:52,47,2.109889,3.08253,1.03283,28,0.07108095,2.738939,0.1691232,49,1.318352,3.094779,0.6746432
2022/9/1 12:57,47,2.08069,2.896349,0.9618949,29,0.07975217,2.877914,0.1355531,51,1.562471,2.988336,0.4354405
2022/9/1 13:02,47,2.160933,2.965952,1.011831,29,0.06612503,2.707522,0.1567754,51,1.657169,2.884692,0.5606433
2022/9/1 13:07,47,2.037784,2.803255,1.061969,29,0.0693922,2.654716,0.1349434,51,1.40529,2.79828,0.5790682
2022/9/1 13:12,47,2.152235,3.104192,0.9132514,29,0.06307606,2.602294,0.1793209,52,1.587244,2.803867,0.5946373
2022/9/1 13:17,48,2.230446,3.051037,1.094788,29,0.07331844,2.779664,0.1723945,51,1.397089,3.038341,0.5847459
2022/9/1 13:22,47,2.259411,2.782319,0.9593678,29,0.06264748,2.599964,0.1999916,50,1.40334,3.058021,0.4751914
2022/9/1 13:27,47,2.219497,2.879961,1.031382,29,0.0627629,2.51603,0.1446041,51,1.251834,2.955671,0.2910883
2022/9/1 13:32,47,2.187408,3.026252,0.9203305,29,0.08309961,2.72539,0.1785621,51,1.24022,3.009809,0.2851572
2022/9/1 13:37,47,2.247889,2.73962,1.071342,29,0.07565369,2.713891,0.1782057,52,1.263085,2.860539,0.270503
2022/9/1 13:42,47,2.211443,2.726589,0.8938771,29,0.06885586,2.699437,0.1970821,52,1.259064,3.018322,0.289497
2022/9/1 13:47,48,2.340338,2.85483,1.045022,29,0.06367819,2.917352,0.2020814,53,1.271851,2.840049,0.2848338
