timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-01 15:17:10,31.0,0.06628137,2.610363,,,0.1539864
2022-09-01 15:22:10,31.0,0.06479598,2.60763,,,0.1261687
2022-09-01 15:27:10,31.0,0.06488339,2.727327,,,0.1178187
2022-09-01 15:32:10,31.0,0.06930313,2.923574,,,0.1550736
2022-09-01 15:37:10,31.0,0.06606582,2.897718,,,0.1459285
2022-09-01 15:42:10,31.0,0.07062793,2.362376,,,0.1390762
2022-09-01 15:47:10,31.0,0.06750355,2.474064,,,0.2078837
2022-09-01 15:52:10,31.0,0.06701544,2.536962,,,0.2012979
2022-09-01 15:57:10,31.0,0.06658897,2.535394,,,0.1528404
2022-09-01 16:02:10,31.0,0.06016685,2.36448,,,0.134771
2022-09-01 16:07:10,31.0,0.06217605,2.343536,,,0.1582902
2022-09-01 16:12:10,31.0,0.06034435,2.3586,,,0.1472993
2022-09-01 16:17:10,31.0,0.06259876,2.392668,,,0.1285199
2022-09-01 16:22:10,31.0,0.06126942,2.359338,,,0.1149871
2022-09-01 16:27:10,31.0,0.06025264,2.445099,,,0.1217498
2022-09-01 16:32:10,31.0,0.05820313,2.391314,,,0.1917303
2022-09-01 16:37:10,31.0,0.06023875,2.33863,,,0.107954
2022-09-01 16:42:10,31.0,0.05962084,2.433263,,,0.1840459
2022-09-01 16:47:10,31.0,0.06206727,2.28978,,,0.1532104
2022-09-01 16:52:10,31.0,0.06303307,2.518651,,,0.1570657
2022-09-01 16:57:10,31.0,0.07770556,2.759888,,,0.1453668
2022-09-01 17:02:10,31.0,0.06897086,2.743424,,,0.1997642
2022-09-01 17:07:10,31.0,0.0671657,2.878675,,,0.1237277
2022-09-01 17:12:10,31.0,0.06836775,2.817832,,,0.1682544
2022-09-01 17:17:10,31.0,0.06324114,2.789826,,,0.1611795
2022-09-01 17:22:10,31.0,0.06320392,2.892823,,,0.1690714
2022-09-01 17:27:10,31.0,0.06381252,2.518755,,,0.2051781
2022-09-01 17:32:10,31.0,0.06426912,2.515156,,,0.1889634
2022-09-01 17:37:10,31.0,0.06394961,2.466444,,,0.14445
2022-09-01 17:42:10,31.0,0.07228796,3.063869,,,0.1767545
2022-09-01 17:47:10,31.0,0.06719007,2.787249,,,0.2162148
2022-09-01 17:52:10,32.0,0.06264875,2.757293,,,0.1615558
2022-09-01 17:57:10,32.0,0.05727537,2.481187,,,0.1843376
2022-09-01 18:02:10,32.0,0.06717268,2.770349,,,0.2652351
2022-09-01 18:07:10,32.0,0.06330998,2.71916,,,0.1490064
2022-09-01 18:12:10,32.0,0.06284019,2.638831,,,0.2033834
2022-09-01 18:17:10,32.0,0.06399044,2.444155,,,0.1452159
2022-09-01 18:22:10,32.0,0.06464785,2.592462,,,0.1940219
2022-09-01 18:27:10,32.0,0.06710958,2.631975,,,0.2465147
2022-09-01 18:32:10,32.0,0.06857036,2.425143,,,0.1769699
2022-09-01 18:37:10,32.0,0.06413722,2.392591,,,0.1212018
2022-09-01 18:42:10,32.0,0.06916768,2.614632,,,0.1786609
2022-09-01 18:47:10,32.0,0.06599958,2.937585,,,0.1791661
2022-09-01 18:52:10,32.0,0.07069954,2.54648,,,0.2080182
2022-09-01 18:57:10,31.0,0.0687362,2.461685,,,0.1582172
2022-09-01 19:02:10,31.0,0.06997522,2.496855,,,0.2074454
2022-09-01 19:07:10,31.0,0.06323052,2.708572,,,0.1457345
2022-09-01 19:12:10,31.0,0.07657948,2.809255,,,0.1221304
2022-09-01 19:17:10,31.0,0.06489312,2.504261,,,0.1613708
2022-09-01 19:22:10,31.0,0.05961199,2.455475,,,0.1441638
2022-09-01 19:27:10,31.0,0.06843948,2.606657,,,0.1780573
2022-09-01 19:32:10,31.0,0.07042855,2.674314,,,0.1703207
2022-09-01 19:37:10,31.0,0.07512646,2.615752,,,0.1899628
2022-09-01 19:42:10,31.0,0.06579874,2.525125,,,0.1575052
2022-09-01 19:47:10,31.0,0.06423337,2.605032,,,0.2025297
2022-09-01 19:52:10,31.0,0.06405698,2.630264,,,0.1527421
2022-09-01 19:57:10,32.0,0.06797581,2.630291,,,0.1840648
2022-09-01 20:02:10,32.0,0.06789943,2.7283,,,0.19192
2022-09-01 20:07:10,32.0,0.0597099,2.588223,,,0.1949819
2022-09-01 20:12:10,32.0,0.07306527,2.795092,,,0.1650287
2022-09-01 20:17:10,32.0,0.06375697,2.503335,,,0.1982092
2022-09-01 20:22:10,32.0,0.06378543,2.491625,,,0.1807807
2022-09-01 20:27:10,32.0,0.0678483,2.554699,,,0.179034
2022-09-01 20:32:10,32.0,0.06672986,2.588005,,,0.1625795
2022-09-01 20:37:10,32.0,0.06493196,2.457517,,,0.1630916
2022-09-01 20:42:10,31.0,0.07334483,2.454221,,,0.1354997
2022-09-01 20:47:10,31.0,0.06771329,2.577552,,,0.1334768
2022-09-01 20:52:10,31.0,0.0717172,2.678594,,,0.2143266
2022-09-01 20:57:10,31.0,0.06333909,2.285264,,,0.1377016
2022-09-01 21:02:10,31.0,0.06635426,2.262951,,,0.08952384
2022-09-01 21:07:10,31.0,0.06604519,2.264968,,,0.1309347
2022-09-01 21:12:10,31.0,0.06202735,2.255974,,,0.1480578
2022-09-01 21:17:10,31.0,0.06577551,2.265562,,,0.1590683
2022-09-01 21:22:10,30.0,0.06844573,2.150819,,,0.1545222
2022-09-01 21:27:10,30.0,0.06170599,2.183072,,,0.09783353
2022-09-01 21:32:10,30.0,0.06550013,2.307856,,,0.1118135
2022-09-01 21:37:10,30.0,0.05988551,2.355734,,,0.1118716
2022-09-01 21:42:10,30.0,0.06019928,2.34729,,,0.1427141
2022-09-01 21:47:10,30.0,0.06237665,2.332426,,,0.07371541
2022-09-01 21:52:10,30.0,0.07300571,2.121156,,,0.1208442
2022-09-01 21:57:10,30.0,0.06597503,2.418461,,,0.1644165
2022-09-01 22:02:10,30.0,0.06141378,2.629228,,,0.1335286
