timestamp,低频加速度RMS_x,高频加速度有效值_x,低频加速度有效值_x,高频加速度峭度,低频加速度RMS_y,高频加速度有效值_y,低频加速度RMS,速度RMS,低频加速度有效值_y,速度有效值
2022-10-01 08:00:00,0.46385829991780797,2.65690123125,0.74244032125,2.8825339814691118,3.5987239159944897,4.67890251448,0.42293939393939395,0.7280151515151511,0.44047602233333333,0.7185137047777778
2022-10-02 08:00:00,0.48160272054583303,2.784216133333333,0.790963237,2.713199699363485,3.8797018658793943,5.2396936069999995,0.43414906832298134,0.7264472049689441,,
2022-10-03 08:00:00,0.44680885461111064,2.20760071,0.7435208326666668,3.2158229170416637,1.5441283160831962,2.2269148145333335,0.40922916666666675,0.7089895833333335,0.633389533,0.737571836
2022-10-04 08:00:00,0.43819798353472217,2.3326658499999997,0.79406735,3.175069379041666,0.019397507171666672,0.03457006005833333,0.40634193548387104,0.6913225806451614,0.4330518237499999,0.6909451898333333
2022-10-05 08:00:00,0.4309067670555553,2.302982,0.6713328,3.0864278799999973,0.01960955690444443,0.03445506858333334,0.4230208333333338,0.7057447916666667,0.40401284275,0.6804263133333333
2022-10-06 08:00:00,0.43778727970486125,2.2398423225000004,0.7066015,3.0665184859861117,0.01971740364930558,0.034679447925,0.3832708333333332,0.6927656249999999,0.4972781340909091,0.6637271427272728
2022-10-07 08:00:00,0.4559862980208336,2.117854715,0.7626341238000001,3.07155506813889,0.019756888640000005,0.0348972133,0.41601562499999983,0.7015781250000003,0.37657546699999994,0.7369748569166666
2022-10-08 08:00:00,0.431951315368182,2.13312207,0.7663827625,3.0313695688055557,2.4409425978131947,3.150483784758333,0.38483854166666687,0.7042812500000002,0.4913055529166667,0.7458101057500001
2022-10-09 08:00:00,0.4606417893368058,4.6885048283333335,0.9602230484166667,2.907848126013891,4.250008828485973,5.3031952591666665,0.39094318181818166,0.6874772727272728,0.5098457261,0.6576528848
2022-10-10 08:00:00,0.44985533130798594,3.060508325833334,0.8757648505000001,2.9999718143749994,3.36143292282125,4.808691623633334,0.4137120418848166,0.6834659685863878,0.4328456280000001,0.64767243025
2022-10-11 08:00:00,0.4402820405989581,2.5017576155916665,0.6977765109999999,3.32015617705556,0.019346790228611098,0.03427867026666667,0.39628645833333337,0.6810781249999995,0.3805469553333333,0.6474316165000001
2022-10-12 08:00:00,0.4382041422118055,2.8187677166666667,0.7328129630000001,3.13101701729167,1.6172948566405558,1.3991259857666665,0.4074635416666667,0.6889479166666671,0.4249425541666667,0.6556831993333333
2022-10-13 08:00:00,0.4356620113784724,3.306446198333333,0.7388419341666669,2.7808803624583334,4.213109949375003,5.465000265833333,0.41131937172774913,0.6684031413612562,0.3989752524545455,0.7151929320909092
2022-10-14 08:00:00,0.4540928180451387,4.457768597499999,0.7590572615000001,2.9711258481944443,2.6004671812352798,3.6142206845083336,0.3973825136612022,0.6898961748633877,0.45534639483333333,0.6789804463333332
2022-10-15 08:00:00,0.4474867374861109,4.5718209750000005,0.7477747524166666,3.2310187676944415,2.696782337072501,2.858162079,0.41703141361256546,0.6964554973821986,0.415861778,0.6867157391666666
2022-10-16 08:00:00,0.4462080351944447,3.8270400825,0.70209669,2.7990856922500003,4.6884191041111105,5.733216787500001,0.42807407407407416,0.6900423280423281,0.46319506633333335,0.6750082040000001
2022-10-17 08:00:00,0.43780657534374984,2.747429069166667,0.7951342985,2.945543161263889,4.166136615427224,5.230671768075001,0.4059479166666666,0.6994635416666667,0.4229958706666666,0.7131864334166665
2022-10-18 08:00:00,0.3694585266857639,1.7175107310333333,0.6043658713166667,2.9504398179722195,4.210685330333333,5.6287633333333345,0.39458031088082884,0.6965077720207254,0.4474223055000001,0.68534822075
2022-10-19 08:00:00,0.4804540879871525,2.5451317941666667,0.8590277056666666,3.131660941458335,2.1145928510597196,2.8287102916000006,0.4425549738219897,0.6931937172774865,0.49117040233333337,0.6945987689166667
2022-10-20 08:00:00,0.37412002334756944,1.8680950991666665,0.8342535756666667,3.2958619172499986,0.021183719182499984,0.03419601221666667,0.39979687500000005,0.7036822916666665,0.36426154233333335,0.64795409125
2022-10-21 08:00:00,0.35475708778819454,1.3600998333333336,0.8570885168333332,3.10097385388889,0.019599616339305563,0.03448335609166667,0.3952931937172773,0.6768586387434553,0.43637654524999997,0.7022814028333332
2022-10-22 08:00:00,0.36893138077777754,1.278018445,0.8065767277500001,3.0851426125416683,2.3193954368012473,2.7559842053166665,0.3984739583333332,0.7035156249999996,0.4898301185833333,0.7042822507500001
2022-10-23 08:00:00,0.2958990260631946,1.2282993838583334,0.793545596075,2.7858893592777774,4.345625916125002,5.622070906666667,0.400340425531915,0.6818404255319154,0.5444528019999999,0.6875773420833332
2022-10-24 08:00:00,0.31619483286736133,1.2629636229666668,0.7967467528333333,3.0681013541250026,2.318323362509862,3.2751523036499997,0.40834196891191704,0.6905647668393781,0.34617889575,0.6695431476666668
2022-10-25 08:00:00,0.3721268764930554,1.2661219774999999,0.7872942456666667,3.2079370121140496,0.019372739624478445,0.033848184291666666,0.4156010362694301,0.6918704663212437,0.42733291091666664,0.6691866680833334
2022-10-26 08:00:00,0.3759198508020834,1.2703926554545457,0.8126019048181817,3.0994408810000045,0.01958384255194442,0.034147412324999994,0.4149791666666667,0.707770833333333,0.4736003353333333,0.7109994037499999
2022-10-27 08:00:00,0.3719847246,1.2888114691666666,0.7989703624999999,3.063152054083331,1.8189533446687505,2.265684231258333,0.42341361256544485,0.7079162303664921,0.36513682900000005,0.69336565825
